parameter,sparsity,top1,top5,loss
conv_3.model.5.conv.conv.weight,0.7000000000000001,0.6783112,0,0
conv_3.model.5.conv.conv.weight,0.8,0.6684372,0,0
conv_3.model.5.conv.conv.weight,0.9,0.6612189,0,0
conv_3.model.5.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.5.conv_dw.conv.weight,0.1,0.7212121,0,0
conv_3.model.5.conv_dw.conv.weight,0.2,0.7146748,0,0
conv_3.model.5.conv_dw.conv.weight,0.30000000000000004,0.7069799,0,0
conv_3.model.5.conv_dw.conv.weight,0.4,0.7011917,0,0
conv_3.model.5.conv_dw.conv.weight,0.5,0.7013279,0,0
conv_3.model.5.conv_dw.conv.weight,0.6000000000000001,0.6928839,0,0
conv_3.model.5.conv_dw.conv.weight,0.7000000000000001,0.6276473,0,0
conv_3.model.5.conv_dw.conv.weight,0.8,0.5861764,0,0
conv_3.model.5.conv_dw.conv.weight,0.9,0.5963909,0,0
conv_3.model.5.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.5.project.conv.weight,0.1,0.7229826,0,0
conv_3.model.5.project.conv.weight,0.2,0.7266599,0,0
conv_3.model.5.project.conv.weight,0.30000000000000004,0.7163092,0,0
conv_3.model.5.project.conv.weight,0.4,0.7316309,0,0
conv_3.model.5.project.conv.weight,0.5,0.7194416,0,0
conv_3.model.5.project.conv.weight,0.6000000000000001,0.7214164,0,0
conv_3.model.5.project.conv.weight,0.7000000000000001,0.7346272,0,0
conv_3.model.5.project.conv.weight,0.8,0.7141301,0,0
conv_3.model.5.project.conv.weight,0.9,0.6875724,0,0
conv_3.model.6.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.6.conv.conv.weight,0.1,0.7118148,0,0
conv_3.model.6.conv.conv.weight,0.2,0.7144705,0,0
conv_3.model.6.conv.conv.weight,0.30000000000000004,0.7170582,0,0
conv_3.model.6.conv.conv.weight,0.4,0.6976507,0,0
conv_3.model.6.conv.conv.weight,0.5,0.6847804,0,0
conv_3.model.6.conv.conv.weight,0.6000000000000001,0.6717058,0,0
conv_3.model.6.conv.conv.weight,0.7000000000000001,0.6622404,0,0
conv_3.model.6.conv.conv.weight,0.8,0.6461696,0,0
conv_3.model.6.conv.conv.weight,0.9,0.6171604,0,0
conv_3.model.6.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.6.conv_dw.conv.weight,0.1,0.7144025,0,0
conv_3.model.6.conv_dw.conv.weight,0.2,0.7106571,0,0
conv_3.model.6.conv_dw.conv.weight,0.30000000000000004,0.7183521,0,0
conv_3.model.6.conv_dw.conv.weight,0.4,0.7152877,0,0
conv_3.model.6.conv_dw.conv.weight,0.5,0.6593803,0,0
conv_3.model.6.conv_dw.conv.weight,0.6000000000000001,0.6484848,0,0
conv_3.model.6.conv_dw.conv.weight,0.7000000000000001,0.6407218,0,0
conv_3.model.6.conv_dw.conv.weight,0.8,0.6189309,0,0
conv_3.model.6.conv_dw.conv.weight,0.9,0.6211781,0,0
conv_3.model.6.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.6.project.conv.weight,0.1,0.7280899,0,0
conv_3.model.6.project.conv.weight,0.2,0.7285666,0,0
conv_3.model.6.project.conv.weight,0.30000000000000004,0.7229826,0,0
conv_3.model.6.project.conv.weight,0.4,0.7084099,0,0
conv_3.model.6.project.conv.weight,0.5,0.7244808,0,0
conv_3.model.6.project.conv.weight,0.6000000000000001,0.6843037,0,0
conv_3.model.6.project.conv.weight,0.7000000000000001,0.6751788,0,0
conv_3.model.6.project.conv.weight,0.8,0.6413347,0,0
conv_3.model.6.project.conv.weight,0.9,0.6417433,0,0
conv_3.model.7.conv.conv.weight,0.0,0.7229145,0,0
conv_3.model.7.conv.conv.weight,0.1,0.7052094,0,0
conv_3.model.7.conv.conv.weight,0.2,0.7012598,0,0
conv_3.model.7.conv.conv.weight,0.30000000000000004,0.6955397,0,0
conv_3.model.7.conv.conv.weight,0.4,0.6864147,0,0
conv_3.model.7.conv.conv.weight,0.5,0.6542731,0,0
conv_3.model.7.conv.conv.weight,0.6000000000000001,0.6299625,0,0
conv_3.model.7.conv.conv.weight,0.7000000000000001,0.6113041,0,0
conv_3.model.7.conv.conv.weight,0.8,0.5877426,0,0
conv_3.model.7.conv.conv.weight,0.9,0.5585972,0,0
conv_3.model.7.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_3.model.7.conv_dw.conv.weight,0.1,0.722506,0,0
conv_3.model.7.conv_dw.conv.weight,0.2,0.7233231,0,0
conv_3.model.7.conv_dw.conv.weight,0.30000000000000004,0.7081376,0,0
conv_3.model.7.conv_dw.conv.weight,0.4,0.6885938,0,0
conv_3.model.7.conv_dw.conv.weight,0.5,0.6799455,0,0
conv_3.model.7.conv_dw.conv.weight,0.6000000000000001,0.6601975,0,0
conv_3.model.7.conv_dw.conv.weight,0.7000000000000001,0.6569969,0,0
conv_3.model.7.conv_dw.conv.weight,0.8,0.6369084,0,0
conv_3.model.7.conv_dw.conv.weight,0.9,0.6001362,0,0
conv_3.model.7.project.conv.weight,0.0,0.7229145,0,0
conv_3.model.7.project.conv.weight,0.1,0.7226422,0,0
conv_3.model.7.project.conv.weight,0.2,0.7044603,0,0
conv_3.model.7.project.conv.weight,0.30000000000000004,0.7011917,0,0
conv_3.model.7.project.conv.weight,0.4,0.6867552,0,0
conv_3.model.7.project.conv.weight,0.5,0.6717058,0,0
conv_3.model.7.project.conv.weight,0.6000000000000001,0.6447395,0,0
conv_3.model.7.project.conv.weight,0.7000000000000001,0.6407899,0,0
conv_3.model.7.project.conv.weight,0.8,0.559142,0,0
conv_3.model.7.project.conv.weight,0.9,0.5670412,0,0
conv_34.conv.conv.weight,0.0,0.7229145,0,0
conv_34.conv.conv.weight,0.1,0.700034,0,0
conv_34.conv.conv.weight,0.2,0.6434457,0,0
conv_34.conv.conv.weight,0.30000000000000004,0.5590739,0,0
conv_34.conv.conv.weight,0.4,0.3611849,0,0
conv_34.conv.conv.weight,0.5,0.0100783,0,0
conv_34.conv.conv.weight,0.6000000000000001,0.0002724,0,0
conv_34.conv.conv.weight,0.7000000000000001,0.0001362,0,0
conv_34.conv.conv.weight,0.8,0.0,0,0
conv_34.conv.conv.weight,0.9,6.81e-05,0,0
conv_34.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_34.conv_dw.conv.weight,0.1,0.7515832,0,0
conv_34.conv_dw.conv.weight,0.2,0.6503235,0,0
conv_34.conv_dw.conv.weight,0.30000000000000004,0.6203609,0,0
conv_34.conv_dw.conv.weight,0.4,0.0419476,0,0
conv_34.conv_dw.conv.weight,0.5,6.81e-05,0,0
conv_34.conv_dw.conv.weight,0.6000000000000001,0.0002724,0,0
conv_34.conv_dw.conv.weight,0.7000000000000001,6.81e-05,0,0
conv_34.conv_dw.conv.weight,0.8,6.81e-05,0,0
conv_34.conv_dw.conv.weight,0.9,0.000681,0,0
conv_34.project.conv.weight,0.0,0.7229145,0,0
conv_34.project.conv.weight,0.1,0.7333333,0,0
conv_34.project.conv.weight,0.2,0.7302009,0,0
conv_34.project.conv.weight,0.30000000000000004,0.6864147,0,0
conv_34.project.conv.weight,0.4,0.6858018,0,0
conv_34.project.conv.weight,0.5,0.570446,0,0
conv_34.project.conv.weight,0.6000000000000001,0.4508682,0,0
conv_34.project.conv.weight,0.7000000000000001,0.2875724,0,0
conv_34.project.conv.weight,0.8,0.1547157,0,0
conv_34.project.conv.weight,0.9,0.0354103,0,0
conv_4.model.0.conv.conv.weight,0.0,0.7229145,0,0
conv_4.model.0.conv.conv.weight,0.1,0.7161049,0,0
conv_4.model.0.conv.conv.weight,0.2,0.7048689,0,0
conv_4.model.0.conv.conv.weight,0.30000000000000004,0.707048,0,0
conv_4.model.0.conv.conv.weight,0.4,0.6924072,0,0
conv_4.model.0.conv.conv.weight,0.5,0.6797412,0,0
conv_4.model.0.conv.conv.weight,0.6000000000000001,0.6691181,0,0
conv_4.model.0.conv.conv.weight,0.7000000000000001,0.6706163,0,0
conv_4.model.0.conv.conv.weight,0.8,0.6672114,0,0
conv_4.model.0.conv.conv.weight,0.9,0.6523664,0,0
