parameter,sparsity,top1,top5,loss
layer3.1.conv2.weight,0.0,0.8414634,0,0
layer3.1.conv2.weight,0.1,0.8279318,0,0
layer3.1.conv2.weight,0.2,0.8136485,0,0
layer3.1.conv2.weight,0.30000000000000004,0.8003675,0,0
layer3.1.conv2.weight,0.4,0.7877548,0,0
layer3.1.conv2.weight,0.5,0.7871701,0,0
layer3.1.conv2.weight,0.6000000000000001,0.7442366,0,0
layer3.1.conv2.weight,0.7000000000000001,0.5432676,0,0
layer3.1.conv2.weight,0.8,0.3526562,0,0
layer3.1.conv2.weight,0.9,0.1072503,0,0
layer3.2.conv1.weight,0.0,0.8414634,0,0
layer3.2.conv1.weight,0.1,0.8285165,0,0
layer3.2.conv1.weight,0.2,0.8138156,0,0
layer3.2.conv1.weight,0.30000000000000004,0.8088039,0,0
layer3.2.conv1.weight,0.4,0.7640327,0,0
layer3.2.conv1.weight,0.5,0.7581858,0,0
layer3.2.conv1.weight,0.6000000000000001,0.745573,0,0
layer3.2.conv1.weight,0.7000000000000001,0.5826094,0,0
layer3.2.conv1.weight,0.8,0.5099399,0,0
layer3.2.conv1.weight,0.9,0.4553959,0,0
layer3.2.conv2.weight,0.0,0.8414634,0,0
layer3.2.conv2.weight,0.1,0.8200802,0,0
layer3.2.conv2.weight,0.2,0.8085533,0,0
layer3.2.conv2.weight,0.30000000000000004,0.8087203,0,0
layer3.2.conv2.weight,0.4,0.7836619,0,0
layer3.2.conv2.weight,0.5,0.6870197,0,0
layer3.2.conv2.weight,0.6000000000000001,0.6886903,0,0
layer3.2.conv2.weight,0.7000000000000001,0.4091213,0,0
layer3.2.conv2.weight,0.8,0.217591,0,0
layer3.2.conv2.weight,0.9,0.0232208,0,0
layer3.3.conv1.weight,0.0,0.8414634,0,0
layer3.3.conv1.weight,0.1,0.8412964,0,0
layer3.3.conv1.weight,0.2,0.828433,0,0
layer3.3.conv1.weight,0.30000000000000004,0.8295189,0,0
layer3.3.conv1.weight,0.4,0.8275977,0,0
layer3.3.conv1.weight,0.5,0.8112262,0,0
layer3.3.conv1.weight,0.6000000000000001,0.7947711,0,0
layer3.3.conv1.weight,0.7000000000000001,0.7525058,0,0
layer3.3.conv1.weight,0.8,0.6915302,0,0
layer3.3.conv1.weight,0.9,0.6323087,0,0
layer3.3.conv2.weight,0.0,0.8414634,0,0
layer3.3.conv2.weight,0.1,0.8147344,0,0
layer3.3.conv2.weight,0.2,0.7770631,0,0
layer3.3.conv2.weight,0.30000000000000004,0.7849983,0,0
layer3.3.conv2.weight,0.4,0.7791514,0,0
layer3.3.conv2.weight,0.5,0.735132,0,0
layer3.3.conv2.weight,0.6000000000000001,0.6937855,0,0
layer3.3.conv2.weight,0.7000000000000001,0.4967424,0,0
layer3.3.conv2.weight,0.8,0.3703642,0,0
layer3.3.conv2.weight,0.9,0.3008687,0,0
layer3.4.conv1.weight,0.0,0.8414634,0,0
layer3.4.conv1.weight,0.1,0.824006,0,0
layer3.4.conv1.weight,0.2,0.8209155,0,0
layer3.4.conv1.weight,0.30000000000000004,0.8074674,0,0
layer3.4.conv1.weight,0.4,0.7978617,0,0
layer3.4.conv1.weight,0.5,0.7533411,0,0
layer3.4.conv1.weight,0.6000000000000001,0.7611928,0,0
layer3.4.conv1.weight,0.7000000000000001,0.7252756,0,0
layer3.4.conv1.weight,0.8,0.6949549,0,0
layer3.4.conv1.weight,0.9,0.5911293,0,0
layer3.4.conv2.weight,0.0,0.8414634,0,0
layer3.4.conv2.weight,0.1,0.8232543,0,0
layer3.4.conv2.weight,0.2,0.8202472,0,0
layer3.4.conv2.weight,0.30000000000000004,0.7961911,0,0
layer3.4.conv2.weight,0.4,0.7936853,0,0
layer3.4.conv2.weight,0.5,0.7832442,0,0
layer3.4.conv2.weight,0.6000000000000001,0.74716,0,0
layer3.4.conv2.weight,0.7000000000000001,0.7312897,0,0
layer3.4.conv2.weight,0.8,0.6740728,0,0
layer3.4.conv2.weight,0.9,0.4730204,0,0
layer3.5.conv1.weight,0.0,0.8414634,0,0
layer3.5.conv1.weight,0.1,0.8494821,0,0
layer3.5.conv1.weight,0.2,0.8369529,0,0
layer3.5.conv1.weight,0.30000000000000004,0.83002,0,0
layer3.5.conv1.weight,0.4,0.8054627,0,0
layer3.5.conv1.weight,0.5,0.818159,0,0
layer3.5.conv1.weight,0.6000000000000001,0.7834113,0,0
layer3.5.conv1.weight,0.7000000000000001,0.7711326,0,0
layer3.5.conv1.weight,0.8,0.7219345,0,0
layer3.5.conv1.weight,0.9,0.6562813,0,0
layer3.5.conv2.weight,0.0,0.8414634,0,0
layer3.5.conv2.weight,0.1,0.838874,0,0
